StateID,Dcode,ConstCode,Constituency,1stCandidate,1stGender,1stAge,1stAgeBracket,1stPartyID,1stPhoto,1stTotalVoteReceived,2ndCandidate,2ndGender,2ndAge,2ndAgeBracket,2ndPartyID,2ndTotalVoteReceived,2ndPhoto,3rdCandidate,3rdGender,3rdAge,3rdAgeBracket,3rdPartyID,3rdTotalVoteReceived,3rdPhoto
2,205,2051,सर्लाही-1,राम प्रकाश चौधरी,M,58,41-60,44,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Ram-Prakash-Chaudhairi_.jpg,24838,मान बहादुर खड्का,M,51,41-60,13,18404,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Man-bahadur-Khadka-sarlai-2.jpg,प्रमोद साह,M,43,41-60,41,14255,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Pramod-Saha-Sarlai-2.jpg
2,205,2052,सर्लाही-2,महिन्द्र राय यादव,M,85,60+,3,https://election.onlinekhabar.com/wp-content/uploads/2022/11/mahendra-raya-yadav-_.jpg,23529,राजेन्द्र महतो,M,63,60+,44,21518,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Rajendra-mahato1-6-1024x683-1.jpg,राज नारायण साह,M,58,41-60,1,14819,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/rajnarayan-sah-__.jpg
2,205,2053,सर्लाही-3,हरि प्रसाद उप्रेती,M,55,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Hari-Prasad-upret1i.jpg,32938,नरेन्द्र साह कलवार,M,50,41-60,3,32168,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Narendra-Sahas.jpg,त्रिभुवन कुमार सिंह,M,49,41-60,48,5519,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
2,205,2054,सर्लाही-4,अमरेश कुमार सिह,M,52,41-60,13,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg,20017,नागेन्द्र कुमार,M,69,60+,2,18253,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/nagendra-kumar-_.jpg,मधुमाला कुमारी यादव,F,26,21-40,13,14622,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
2,206,2061,रौतहट-1,माधव कुमार नेपाल,M,69,60+,38,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Madhav-Kumar-Nepal-1.jpg,33522,अजय कुमार गुप्‍ता,M,48,41-60,1,26922,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Ajaya-gupta-rautahat.jpg,राजेन्द्र प्रसाद साह,M,62,60+,48,1411,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Rajendra-Sah-_.jpg
2,206,2062,रौतहट-2,किरण कुमार साह,M,44,41-60,13,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/kiran-shah.jpg,32842,मो. फिरदोस अ‍ालम,M,35,21-40,2,28248,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Dr-Firdosh-Alam-_.jpg,शैलेन्द्र शाह,M,51,41-60,41,2122,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Shailendra-Shah-_.jpg
2,206,2063,रौतहट-3,प्रभु साह,M,51,41-60,13,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/prabhu-saha-1.jpg,32437,अ‍ोमप्रकाश -,M,49,41-60,13,25200,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg,रविन्‍द्र पटेल,M,44,41-60,3,8558,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/dhiraj-patel.jpg
2,206,2064,रौतहट-4,देव प्रसाद तिमलसेना,M,52,41-60,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/dev-prashad-timilsina-__.jpg,34161,उध्दव प्रसाद रेग्मी,M,57,41-60,1,26559,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Uddhav-Regmi-_.jpg,रुपलाल राय यादव,M,44,41-60,4,2375,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
2,207,2071,बारा-1,अच्युत प्रसाद मैनाली,M,57,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/achuyt-mainali.jpg,39195,उमाकान्त चौधरी,M,56,41-60,2,30056,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Umakanta-Chaudhary_.jpg,गणेश धिमाल,M,39,21-40,93,3319,https://election.onlinekhabar.com/wp-content/uploads/2022/11/Ganesh-dhimal.jpg
2,207,2072,बारा-2,रामसहाय प्रसाद यादव,M,52,41-60,41,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Ram-Sahaya-yadav.jpg,13822,शिवचन्द्र प्रसाद कुशवाहा,M,56,41-60,3,13468,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/shiva-Chandra-kushbawa-1.jpg,रामकिशोर प्रसाद यादव,M,52,41-60,13,11043,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Ram-Kishor-yadav.jpg
2,207,2073,बारा-3,ज्वाला कुमारी साह,F,40,21-40,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Jwala-kumari-Saha_.jpg,20251,रामवावु कुमार यादव,M,47,41-60,41,17279,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Ram-babu-yadav-jasapa-bara.jpg,लालबाबु सि‌ह भुइहार,M,61,60+,44,11964,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/lal-babu-singh.jpg
